 M	JanumiCode/janumiprofessionalworkbench/docs/Command Precondition Legality/DWP-04-agent-prompt.md	9956	b6ea4707492b37467b8a7227c6f8a0ef002a1a9543e2e50f3ed89eb0c192eb91
 M	JanumiCode/janumiprofessionalworkbench/docs/canon/JPWB Canon Ratify Sheet (R1).md	14461	7568daa0002da1fa60674d93390cbc3c4165af7a3d585088e5367b9431b591ee
 M	JanumiCode/janumiprofessionalworkbench/docs/canon/JPWB-CON-000 Constitution.md	20919	c75ff0cd6b76c3e2caa606da500464c3b3adb27e556740d51ba44e55210be89a
 M	JanumiCode/janumiprofessionalworkbench/docs/canon/JPWB-CON-000 Constitution.md.provenance.md	15793	f80da3cff9720cdefbe65f0d10591e19ed66ca1f486b50be6939c4c18d8b45ae
 M	JanumiCode/janumiprofessionalworkbench/docs/canon/JPWB-DOC-001 Doctrine and Concept of Operations.md	47201	3bebab1bb50ecfa28c0988482cb77886c406be5bd19202ff1204e76cfd4ed3b7
 M	JanumiCode/janumiprofessionalworkbench/docs/canon/JPWB-DOC-001 Doctrine and Concept of Operations.md.provenance.md	14507	4b7fb5994799f7516cff8f5d102ba457d96abb7ee6ff38b28d902a151759d477
 M	JanumiCode/janumiprofessionalworkbench/docs/canon/JPWB-DOC-002 Canonical Vocabulary.md	38412	2991fc7b30e2c89009e61b37389e29933e233a6eb9b50b32d4bb861c7c1ab6af
 M	JanumiCode/janumiprofessionalworkbench/docs/canon/JPWB-DOC-002. Canonical Vocabulary.provenance.md	16848	533e6835f4694ba3715ba8782e30f7bbb5df44dffba4cce06befc704a0b1b96b
 M	JanumiCode/janumiprofessionalworkbench/docs/canon/JPWB-DOC-003 Semantic Model and Invariant Catalog.md	71975	eb9744a0a0cd3e9fcf56b41c3a65c507229ac4c763857f857e7abd7f94b1f557
 M	JanumiCode/janumiprofessionalworkbench/docs/canon/JPWB-DOC-003 Semantic Model and Invariant Catalog.provenance.md	22953	fa402a0c9bcbf2021c5e4d391cd5fc74cd39c1b82c8a9f83d6a7c8ffa99c3e74
 M	JanumiCode/janumiprofessionalworkbench/docs/canon/JPWB-DOC-004 Agent Operating Protocol.md	50006	f72c55cfbfeb9a3efe164816e86ff1bdafceeab61343feee1c379499b0c8ab26
 M	JanumiCode/janumiprofessionalworkbench/docs/canon/JPWB-DOC-004 Agent Operating Protocol.md.provenance.md	17012	6318776d8269f58e71ef803fc478754ec375374bb14562d98a9f863b74dd6524
 M	JanumiCode/janumiprofessionalworkbench/docs/canon/JPWB-REG-005 Decision and Divergence Register.md	99705	ee0b83af020d2973a875ae17d0353aee300f5dd2a00f66a5dbab4596960de3b8
 M	JanumiCode/janumiprofessionalworkbench/docs/canon/JPWB-REG-005 Decision and Divergence Register.provenance.md	17418	e7dc9e11286d432757d353d318ad9335bdd0c5557a3662e6b338d2b01d296829
 M	JanumiCode/janumiprofessionalworkbench/docs/canon/_test/deep-spec-commission-prompt.md	10249	01924c022e2cb0417d809e448d32e000fa4bde5d5f719dfc0538124aa1e5443f
??	JanumiCode/janumiprofessionalworkbench/docs/Documentation Generation Methodology Discussion/Gauntlet Constraints Discussion.md	10062	7724e073400bd7d16d3172dfd9f68eafdff9cdba98540235fa97b652af7dbd8d
??	JanumiCode/janumiprofessionalworkbench/docs/Documentation Generation Methodology Discussion/Initial Chat.md	29066	bc55ef2e1082048204b6119db758ea16fcf06abf5cde34e392107ddc6f682b61
??	JanumiCode/janumiprofessionalworkbench/docs/canon/_test/cycles/cycle-000-ratify-instrument.md	15195	839f729a1db19e106a53a800e2b2b9ca5278aa2dd580be75aca0cb9a0b122cb5
??	JanumiCode/janumiprofessionalworkbench/docs/canon/_test/cycles/cycle-000-regression-report.md	15661	f1d8b77004171aa1befa1bcede53599e21b368a6b65419daaa16533c26e0bc78
??	JanumiCode/janumiprofessionalworkbench/docs/canon/_test/cycles/cycle-000-report.md	25005	4ceb54a814f786d4cd56589f1b3d5e1179952dbb4741c62d8fc880f57da91739
??	JanumiCode/janumiprofessionalworkbench/docs/canon/_test/probes/probe-suite-v0.md	4777	d528728f407b8970d22fbbc4fbecb75479c65eac764b2a28d7de367ac355ffe5
??	JanumiCode/janumiprofessionalworkbench/docs/canon/_test/virtuous-cycle-harness.md	7798	9a663da30b439391948a232bcf9802dbf0e30601cd6b7003179aca7efd652ec2
